blocksector,read/write,boot/exec
167247,0,1
85681,0,1
55353,0,1
85681,0,1
197146,0,1
85681,0,1
85681,0,1
3657,0,1
21684,0,1
119618,0,1
94459,0,1
166686,0,1
154903,0,1
134447,0,1
5941,0,1
139511,0,1
37226,0,1
70707,0,1
94459,0,1
51323,0,1
51797,0,1
143185,0,1
143185,0,1
99443,0,1
143185,0,1
143185,0,1
31021,0,1
187181,0,1
135800,0,1
99443,0,1
132912,0,1
69286,0,1
141103,0,1
183637,0,1
183637,0,1
33944,0,1
132912,0,1
129672,0,1
197749,0,1
2613,0,1
181156,0,1
183627,0,1
14949,0,1
127189,0,1
168093,0,1
127189,0,1
25350,0,1
140409,0,1
8580,0,1
144022,0,1
154914,0,1
105808,0,1
154914,0,1
154914,0,1
135731,0,1
154914,0,1
170077,0,1
46431,0,1
105808,0,1
149432,0,1
41751,0,1
174758,0,1
41751,0,1
41751,0,1
41751,0,1
96376,0,1
110782,0,1
41751,0,1
5100,0,1
53715,0,1
164619,0,1
137801,0,1
164619,0,1
153757,0,1
198131,0,1
106501,0,1
175957,0,1
164619,0,1
166361,0,1
157592,0,1
185724,0,1
79906,0,1
58491,0,1
64240,0,1
53575,0,1
53575,0,1
23181,0,1
89645,0,1
115111,0,1
58491,0,1
63155,0,1
98048,0,1
82514,0,1
104527,0,1
73051,0,1
194301,0,1
105498,0,1
194301,0,1
73051,0,1
73051,0,1
41285,0,1
141882,0,1
141882,0,1
141882,0,1
119665,0,1
193322,0,1
170323,0,1
141882,0,1
112917,0,1
141882,0,1
71803,0,1
76537,0,1
78556,0,1
171625,0,1
68234,0,1
115532,0,1
90497,0,1
97484,0,1
196948,0,1
2753,0,1
105213,0,1
189106,0,1
105213,0,1
16805,0,1
105213,0,1
105213,0,1
194403,0,1
195305,0,1
99252,0,1
1034,0,1
19134,0,1
146873,0,1
19134,0,1
107553,0,1
121632,0,1
97200,0,1
108656,0,1
197515,0,1
95563,0,1
64278,0,1
130570,0,1
45038,0,1
164440,0,1
82052,0,1
82052,0,1
12209,0,1
112936,0,1
34207,0,1
82052,0,1
34432,0,1
79667,0,1
79667,0,1
168941,0,1
79667,0,1
105008,0,1
119263,0,1
91847,0,1
42113,0,1
44637,0,1
97962,0,1
119229,0,1
112590,0,1
112590,0,1
112590,0,1
173127,0,1
72092,0,1
112590,0,1
145728,0,1
144555,0,1
112590,0,1
61063,0,1
141964,0,1
95080,0,1
141964,0,1
15918,0,1
127405,0,1
61063,0,1
187495,0,1
199925,0,1
165381,0,1
157675,0,1
197754,0,1
191712,0,1
191712,0,1
127342,0,1
182184,0,1
35394,0,1
191712,0,1
191712,0,1
16454,0,1
187511,0,1
151501,0,1
159170,0,1
129278,0,1
1096,0,1
8703,0,1
188734,0,1
166955,0,1
187511,0,1
49676,0,1
137017,0,1
107528,0,1
137017,0,1
137017,0,1
44229,0,1
25763,0,1
107528,0,1
137017,0,1
137017,0,1
137017,0,1
172938,0,1
26955,0,1
11946,0,1
140031,0,1
194433,0,1
177563,0,1
177563,0,1
109771,0,1
177563,0,1
177563,0,1
64462,0,1
79754,0,1
31090,0,1
29001,0,1
190871,0,1
190871,0,1
22122,0,1
59263,0,1
22122,0,1
125846,0,1
26978,0,1
1477,0,1
78234,0,1
128342,0,1
10843,0,1
29210,0,1
10843,0,1
81383,0,1
135513,0,1
123138,0,1
88756,0,1
165391,0,1
179184,0,1
36341,0,1
2088,0,1
88756,0,1
151420,0,1
148675,0,1
88756,0,1
29919,0,1
49750,0,1
157388,0,1
60106,0,1
43106,0,1
189753,0,1
179041,0,1
74919,0,1
74919,0,1
42569,0,1
74919,0,1
39958,0,1
128976,0,1
137060,0,1
26178,0,1
39958,0,1
196135,0,1
38111,0,1
106844,0,1
6865,0,1
106844,0,1
85604,0,1
57411,0,1
53311,0,1
85604,0,1
85604,0,1
142618,0,1
85604,0,1
184788,0,1
70993,0,1
167043,0,1
34970,0,1
36822,0,1
160038,0,1
99025,0,1
114575,0,1
52173,0,1
4881,0,1
52173,0,1
120842,0,1
72758,0,1
