blocksector,read/write,boot/exec
38042,0,1
7215,0,1
17775,0,1
27903,0,1
5626,0,1
27903,0,1
627,0,1
9402,0,1
9402,0,1
6532,0,1
21236,0,1
38805,0,1
30137,0,1
30137,0,1
30137,0,1
8007,0,1
30137,0,1
19517,0,1
30137,0,1
30137,0,1
943,0,1
11837,0,1
943,0,1
38237,0,1
14630,0,1
9720,0,1
943,0,1
943,0,1
9720,0,1
37695,0,1
29021,0,1
7412,0,1
22931,0,1
24995,0,1
5088,0,1
5088,0,1
13711,0,1
5088,0,1
5055,0,1
25633,0,1
39441,0,1
36972,0,1
36972,0,1
6655,0,1
4628,0,1
6680,0,1
39441,0,1
19628,0,1
28112,0,1
3662,0,1
25772,0,1
26861,0,1
21431,0,1
21431,0,1
26861,0,1
9199,0,1
5804,0,1
21431,0,1
19877,0,1
21431,0,1
28213,0,1
27040,0,1
26296,0,1
11582,0,1
39566,0,1
15288,0,1
16446,0,1
26296,0,1
26296,0,1
28119,0,1
19237,0,1
12701,0,1
16442,0,1
25533,0,1
37053,0,1
37053,0,1
37191,0,1
18908,0,1
39477,0,1
15575,0,1
28993,0,1
11672,0,1
5129,0,1
2788,0,1
5129,0,1
22864,0,1
8061,0,1
2788,0,1
8061,0,1
10637,0,1
4226,0,1
4226,0,1
4226,0,1
8605,0,1
14538,0,1
19213,0,1
8605,0,1
8605,0,1
26891,0,1
14538,0,1
36502,0,1
6554,0,1
38680,0,1
22197,0,1
34808,0,1
37531,0,1
21738,0,1
22197,0,1
31131,0,1
14737,0,1
5626,0,1
5626,0,1
28338,0,1
18066,0,1
5626,0,1
19411,0,1
27294,0,1
25473,0,1
5626,0,1
32250,0,1
2260,0,1
22341,0,1
19884,0,1
19884,0,1
39516,0,1
13036,0,1
18673,0,1
6754,0,1
17833,0,1
24832,0,1
7928,0,1
7928,0,1
23619,0,1
18594,0,1
25493,0,1
36509,0,1
32318,0,1
32318,0,1
23619,0,1
32318,0,1
19226,0,1
35954,0,1
33899,0,1
7431,0,1
31799,0,1
34136,0,1
35163,0,1
23679,0,1
31799,0,1
9440,0,1
33593,0,1
7695,0,1
35779,0,1
33892,0,1
35779,0,1
35779,0,1
35779,0,1
35779,0,1
32124,0,1
35779,0,1
19085,0,1
21192,0,1
16439,0,1
25473,0,1
36937,0,1
38336,0,1
12203,0,1
28502,0,1
31527,0,1
32580,0,1
14960,0,1
9292,0,1
38990,0,1
3933,0,1
10499,0,1
22610,0,1
37857,0,1
26094,0,1
13283,0,1
37739,0,1
36305,0,1
19591,0,1
36305,0,1
36305,0,1
36305,0,1
5866,0,1
36305,0,1
36305,0,1
37694,0,1
36374,0,1
33334,0,1
17271,0,1
31727,0,1
6857,0,1
24135,0,1
35138,0,1
6985,0,1
29119,0,1
29119,0,1
36713,0,1
12211,0,1
4271,0,1
30627,0,1
30627,0,1
30627,0,1
5740,0,1
13943,0,1
26454,0,1
23860,0,1
17388,0,1
3720,0,1
37158,0,1
18128,0,1
15778,0,1
30933,0,1
32272,0,1
9786,0,1
39499,0,1
18128,0,1
39499,0,1
20532,0,1
38797,0,1
3664,0,1
4046,0,1
10316,0,1
4046,0,1
38797,0,1
12691,0,1
4046,0,1
7581,0,1
33088,0,1
36804,0,1
29741,0,1
14018,0,1
25689,0,1
36804,0,1
20226,0,1
14903,0,1
20226,0,1
20226,0,1
34289,0,1
24866,0,1
19932,0,1
399,0,1
7891,0,1
10042,0,1
7891,0,1
9920,0,1
31813,0,1
37789,0,1
32513,0,1
1076,0,1
35798,0,1
31442,0,1
31863,0,1
32513,0,1
16363,0,1
33751,0,1
39140,0,1
28727,0,1
27820,0,1
35475,0,1
38526,0,1
28566,0,1
12637,0,1
14289,0,1
1394,0,1
37811,0,1
1394,0,1
33215,0,1
5873,0,1
6822,0,1
19809,0,1
5873,0,1
17695,0,1
5873,0,1
5873,0,1
11989,0,1
5714,0,1
17773,0,1
24127,0,1
12408,0,1
35270,0,1
24534,0,1
39045,0,1
11374,0,1
32291,0,1
35270,0,1
34483,0,1
675,0,1
10245,0,1
15673,0,1
10245,0,1
18699,0,1
16307,0,1
4084,0,1
11228,0,1
36985,0,1
10245,0,1
10163,0,1
20512,0,1
20512,0,1
26158,0,1
832,0,1
30982,0,1
36060,0,1
14488,0,1
23022,0,1
26460,0,1
20917,0,1
16877,0,1
459,0,1
2266,0,1
35328,0,1
16877,0,1
36637,0,1
10105,0,1
30398,0,1
16877,0,1
16877,0,1
36000,0,1
31660,0,1
37462,0,1
25023,0,1
31585,0,1
12942,0,1
36000,0,1
30878,0,1
20655,0,1
30878,0,1
188,0,1
19966,0,1
5555,0,1
6709,0,1
32389,0,1
15693,0,1
15693,0,1
188,0,1
188,0,1
188,0,1
5780,0,1
11603,0,1
11603,0,1
15137,0,1
18135,0,1
34753,0,1
12766,0,1
34871,0,1
897,0,1
3124,0,1
19502,0,1
16651,0,1
30910,0,1
28181,0,1
36192,0,1
29430,0,1
28181,0,1
36045,0,1
5255,0,1
29430,0,1
30109,0,1
21812,0,1
14434,0,1
17013,0,1
14704,0,1
39555,0,1
14704,0,1
39555,0,1
39555,0,1
25083,0,1
23386,0,1
22525,0,1
22384,0,1
26010,0,1
39359,0,1
21378,0,1
36514,0,1
31942,0,1
19182,0,1
19870,0,1
5832,0,1
5832,0,1
30699,0,1
5832,0,1
16190,0,1
2912,0,1
12038,0,1
5832,0,1
3929,0,1
3929,0,1
22228,0,1
23633,0,1
10493,0,1
10493,0,1
10493,0,1
10493,0,1
32451,0,1
28276,0,1
10493,0,1
39141,0,1
23612,0,1
23612,0,1
30144,0,1
6055,0,1
22000,0,1
18310,0,1
9113,0,1
30194,0,1
24351,0,1
27524,0,1
10838,0,1
9818,0,1
13025,0,1
38797,0,1
20162,0,1
9818,0,1
6225,0,1
11969,0,1
15286,0,1
17259,0,1
26471,0,1
10725,0,1
31556,0,1
16359,0,1
31556,0,1
30830,0,1
16038,0,1
10725,0,1
31593,0,1
30830,0,1
17033,0,1
37669,0,1
6175,0,1
7129,0,1
36583,0,1
7129,0,1
34535,0,1
39864,0,1
6175,0,1
7129,0,1
32179,0,1
14210,0,1
444,0,1
25990,0,1
29044,0,1
13939,0,1
29044,0,1
39124,0,1
39124,0,1
37311,0,1
31597,0,1
26688,0,1
31597,0,1
14661,0,1
19381,0,1
21812,0,1
2055,0,1
38269,0,1
21812,0,1
21812,0,1
24365,0,1
27123,0,1
11926,0,1
11949,0,1
34651,0,1
11949,0,1
33292,0,1
6318,0,1
12077,0,1
33856,0,1
1215,0,1
30039,0,1
32711,0,1
15996,0,1
32711,0,1
1215,0,1
914,0,1
8783,0,1
18925,0,1
19025,0,1
5415,0,1
14541,0,1
21770,0,1
20293,0,1
16655,0,1
7017,0,1
29155,0,1
38211,0,1
14045,0,1
38211,0,1
32828,0,1
20202,0,1
11110,0,1
11992,0,1
16677,0,1
32828,0,1
17900,0,1
33922,0,1
38296,0,1
13504,0,1
14184,0,1
12582,0,1
9279,0,1
9492,0,1
27351,0,1
31564,0,1
33089,0,1
39971,0,1
22132,0,1
26588,0,1
31966,0,1
31966,0,1
31030,0,1
31966,0,1
31966,0,1
31948,0,1
11502,0,1
31347,0,1
31966,0,1
31966,0,1
16239,0,1
11753,0,1
16239,0,1
25709,0,1
33416,0,1
16239,0,1
5277,0,1
39867,0,1
25648,0,1
17278,0,1
24182,0,1
38609,0,1
2118,0,1
24182,0,1
20471,0,1
10136,0,1
27215,0,1
5893,0,1
24182,0,1
9767,0,1
39787,0,1
29327,0,1
13464,0,1
33378,0,1
22862,0,1
16067,0,1
1229,0,1
38041,0,1
3780,0,1
9353,0,1
31975,0,1
36785,0,1
13508,0,1
37043,0,1
21949,0,1
37043,0,1
3195,0,1
17081,0,1
31975,0,1
12329,0,1
28219,0,1
1198,0,1
38726,0,1
36282,0,1
30487,0,1
36282,0,1
22837,0,1
1198,0,1
14185,0,1
18978,0,1
36795,0,1
25773,0,1
35015,0,1
19321,0,1
24600,0,1
22515,0,1
25773,0,1
25773,0,1
19321,0,1
1613,0,1
3067,0,1
13603,0,1
11919,0,1
37462,0,1
19859,0,1
25506,0,1
37462,0,1
11919,0,1
23302,0,1
12264,0,1
13293,0,1
31197,0,1
29265,0,1
36193,0,1
29074,0,1
25900,0,1
13293,0,1
13293,0,1
36193,0,1
39828,0,1
31382,0,1
10787,0,1
7120,0,1
2287,0,1
29337,0,1
12451,0,1
2287,0,1
6458,0,1
2287,0,1
15382,0,1
18606,0,1
18606,0,1
18606,0,1
19024,0,1
18606,0,1
18606,0,1
13576,0,1
18606,0,1
21517,0,1
28268,0,1
35766,0,1
21247,0,1
25978,0,1
7905,0,1
479,0,1
33999,0,1
10316,0,1
35262,0,1
10316,0,1
7795,0,1
401,0,1
419,0,1
13323,0,1
401,0,1
39900,0,1
13323,0,1
401,0,1
39697,0,1
35386,0,1
401,0,1
2458,0,1
37591,0,1
23235,0,1
31318,0,1
31318,0,1
31318,0,1
2288,0,1
29939,0,1
25715,0,1
10269,0,1
2069,0,1
17341,0,1
30403,0,1
17824,0,1
17824,0,1
32546,0,1
28356,0,1
32546,0,1
39785,0,1
17824,0,1
31764,0,1
37107,0,1
38918,0,1
9867,0,1
9867,0,1
35087,0,1
9867,0,1
23056,0,1
9867,0,1
36055,0,1
4960,0,1
19681,0,1
20861,0,1
36037,0,1
17108,0,1
31289,0,1
36257,0,1
20861,0,1
20861,0,1
20861,0,1
36074,0,1
36074,0,1
36074,0,1
19312,0,1
19312,0,1
19312,0,1
13442,0,1
1553,0,1
19312,0,1
39297,0,1
31500,0,1
35830,0,1
15101,0,1
39946,0,1
1770,0,1
25974,0,1
14179,0,1
14982,0,1
14179,0,1
15101,0,1
7749,0,1
9533,0,1
17377,0,1
27605,0,1
21115,0,1
21115,0,1
33332,0,1
9681,0,1
36970,0,1
21115,0,1
35443,0,1
17375,0,1
7816,0,1
7943,0,1
26282,0,1
7943,0,1
7943,0,1
16861,0,1
17375,0,1
15805,0,1
5063,0,1
8457,0,1
11032,0,1
15636,0,1
22285,0,1
31126,0,1
11032,0,1
25725,0,1
21511,0,1
17994,0,1
25497,0,1
24793,0,1
12504,0,1
26434,0,1
26588,0,1
12877,0,1
12877,0,1
21281,0,1
30126,0,1
33500,0,1
908,0,1
37281,0,1
908,0,1
11157,0,1
34982,0,1
24077,0,1
21097,0,1
908,0,1
908,0,1
19158,0,1
19091,0,1
19999,0,1
32670,0,1
10530,0,1
1384,0,1
8988,0,1
28368,0,1
7747,0,1
9609,0,1
990,0,1
25563,0,1
38109,0,1
24392,0,1
11681,0,1
20144,0,1
28867,0,1
20426,0,1
3707,0,1
24392,0,1
28867,0,1
25881,0,1
39175,0,1
15202,0,1
39175,0,1
33845,0,1
39175,0,1
27433,0,1
39175,0,1
39175,0,1
7251,0,1
35917,0,1
32830,0,1
25812,0,1
25542,0,1
25812,0,1
25812,0,1
17185,0,1
35050,0,1
14150,0,1
25812,0,1
0,0,1
9230,0,1
25882,0,1
34328,0,1
0,0,1
15332,0,1
29311,0,1
39143,0,1
24251,0,1
9230,0,1
33147,0,1
37526,0,1
33147,0,1
10157,0,1
39074,0,1
27979,0,1
13572,0,1
22492,0,1
33147,0,1
27979,0,1
39586,0,1
4540,0,1
26106,0,1
34560,0,1
26106,0,1
21712,0,1
26106,0,1
21712,0,1
21712,0,1
11080,0,1
24975,0,1
26130,0,1
257,0,1
1407,0,1
29503,0,1
5163,0,1
6882,0,1
1407,0,1
6882,0,1
38615,0,1
34284,0,1
29627,0,1
7007,0,1
34284,0,1
9118,0,1
33507,0,1
16679,0,1
15506,0,1
34284,0,1
34284,0,1
17832,0,1
8264,0,1
13505,0,1
13505,0,1
18424,0,1
31711,0,1
8102,0,1
10611,0,1
39184,0,1
17832,0,1
22103,0,1
17988,0,1
17198,0,1
13534,0,1
167,0,1
28529,0,1
10970,0,1
10970,0,1
35841,0,1
17198,0,1
9336,0,1
24769,0,1
25391,0,1
3905,0,1
3905,0,1
25411,0,1
11456,0,1
25540,0,1
3905,0,1
31823,0,1
32867,0,1
37777,0,1
28201,0,1
19574,0,1
10620,0,1
35933,0,1
28201,0,1
29629,0,1
28201,0,1
28201,0,1
10190,0,1
10288,0,1
30479,0,1
30479,0,1
1804,0,1
1804,0,1
1804,0,1
29918,0,1
1804,0,1
18752,0,1
28932,0,1
39831,0,1
33559,0,1
5950,0,1
5116,0,1
28385,0,1
10470,0,1
5116,0,1
5116,0,1
17272,0,1
4850,0,1
28908,0,1
37736,0,1
244,0,1
4850,0,1
20317,0,1
23823,0,1
4850,0,1
37736,0,1
12738,0,1
5742,0,1
31387,0,1
1452,0,1
31387,0,1
30028,0,1
5742,0,1
31387,0,1
9094,0,1
31387,0,1
22361,0,1
2894,0,1
36531,0,1
11922,0,1
36902,0,1
10674,0,1
36902,0,1
36531,0,1
23530,0,1
2345,0,1
36531,0,1
26839,0,1
30533,0,1
39019,0,1
25600,0,1
11149,0,1
39529,0,1
25600,0,1
30533,0,1
22058,0,1
16189,0,1
8504,0,1
32961,0,1
8438,0,1
13935,0,1
8438,0,1
23447,0,1
18218,0,1
33909,0,1
23447,0,1
13935,0,1
11714,0,1
10185,0,1
11714,0,1
521,0,1
34082,0,1
10185,0,1
13310,0,1
4509,0,1
39027,0,1
38566,0,1
26032,0,1
33185,0,1
26185,0,1
3795,0,1
12596,0,1
1771,0,1
26032,0,1
26032,0,1
34806,0,1
17157,0,1
19460,0,1
12975,0,1
8717,0,1
26098,0,1
131,0,1
19460,0,1
19460,0,1
14958,0,1
19460,0,1
19460,0,1
25369,0,1
37231,0,1
29118,0,1
25369,0,1
8263,0,1
39570,0,1
20845,0,1
20845,0,1
6649,0,1
20073,0,1
15954,0,1
6919,0,1
34240,0,1
22102,0,1
6919,0,1
33263,0,1
30517,0,1
27948,0,1
31545,0,1
6919,0,1
38319,0,1
2394,0,1
26367,0,1
29401,0,1
35975,0,1
38319,0,1
33939,0,1
26365,0,1
18627,0,1
5395,0,1
39367,0,1
4742,0,1
13112,0,1
22146,0,1
22032,0,1
38490,0,1
37969,0,1
33719,0,1
22146,0,1
16496,0,1
5298,0,1
5298,0,1
634,0,1
5298,0,1
17507,0,1
5298,0,1
32725,0,1
5298,0,1
9653,0,1
2502,0,1
27892,0,1
11736,0,1
19107,0,1
37612,0,1
25317,0,1
24434,0,1
24230,0,1
19436,0,1
29397,0,1
5768,0,1
33992,0,1
26410,0,1
23258,0,1
27746,0,1
9349,0,1
33992,0,1
1461,0,1
19921,0,1
35451,0,1
2183,0,1
3813,0,1
4441,0,1
33612,0,1
4441,0,1
23889,0,1
16677,0,1
32988,0,1
1360,0,1
31247,0,1
13093,0,1
12855,0,1
31350,0,1
31350,0,1
38343,0,1
39861,0,1
39861,0,1
30481,0,1
35997,0,1
38343,0,1
38343,0,1
10292,0,1
35513,0,1
24178,0,1
24912,0,1
39399,0,1
12796,0,1
16808,0,1
32834,0,1
7852,0,1
39399,0,1
20196,0,1
27288,0,1
3104,0,1
14057,0,1
9876,0,1
6512,0,1
25730,0,1
27288,0,1
6512,0,1
28904,0,1
2835,0,1
2117,0,1
5187,0,1
3444,0,1
2835,0,1
2835,0,1
21323,0,1
2835,0,1
39397,0,1
2835,0,1
12013,0,1
12013,0,1
3280,0,1
12013,0,1
12013,0,1
12013,0,1
12013,0,1
15338,0,1
12013,0,1
12013,0,1
29023,0,1
28553,0,1
3706,0,1
27268,0,1
9288,0,1
21307,0,1
20042,0,1
2303,0,1
29023,0,1
21247,0,1
25154,0,1
26319,0,1
15865,0,1
7259,0,1
26319,0,1
32179,0,1
1074,0,1
10118,0,1
10118,0,1
12923,0,1
32467,0,1
23574,0,1
20397,0,1
37547,0,1
45,0,1
8702,0,1
8048,0,1
45,0,1
13649,0,1
23574,0,1
20710,0,1
15339,0,1
21341,0,1
30987,0,1
7712,0,1
17061,0,1
19250,0,1
17061,0,1
17061,0,1
17061,0,1
20845,0,1
20845,0,1
17459,0,1
20845,0,1
37665,0,1
25359,0,1
37860,0,1
20845,0,1
16954,0,1
20845,0,1
19476,0,1
210,0,1
20748,0,1
23649,0,1
12323,0,1
19960,0,1
102,0,1
6659,0,1
20748,0,1
19476,0,1
13168,0,1
27162,0,1
13168,0,1
12541,0,1
13168,0,1
25695,0,1
26049,0,1
13168,0,1
26049,0,1
13168,0,1
33899,0,1
9471,0,1
3229,0,1
33899,0,1
5851,0,1
29245,0,1
33899,0,1
5349,0,1
12247,0,1
18022,0,1
21038,0,1
33446,0,1
17252,0,1
33446,0,1
26652,0,1
11421,0,1
13090,0,1
25793,0,1
33446,0,1
35315,0,1
12920,0,1
10258,0,1
25230,0,1
18911,0,1
15473,0,1
12920,0,1
18911,0,1
18911,0,1
16531,0,1
26722,0,1
10895,0,1
24715,0,1
21429,0,1
28706,0,1
28706,0,1
37278,0,1
27438,0,1
30537,0,1
10947,0,1
30537,0,1
15156,0,1
6909,0,1
6909,0,1
723,0,1
5999,0,1
25271,0,1
29080,0,1
39753,0,1
22897,0,1
32317,0,1
33629,0,1
23289,0,1
17485,0,1
21160,0,1
16574,0,1
4091,0,1
23289,0,1
23289,0,1
475,0,1
39531,0,1
20436,0,1
26056,0,1
21433,0,1
23918,0,1
28065,0,1
23918,0,1
20436,0,1
28373,0,1
23918,0,1
20436,0,1
25963,0,1
28980,0,1
32448,0,1
35719,0,1
26004,0,1
5003,0,1
17667,0,1
35719,0,1
19165,0,1
35719,0,1
3950,0,1
28286,0,1
12576,0,1
34896,0,1
14454,0,1
3950,0,1
38479,0,1
35659,0,1
6012,0,1
38479,0,1
31028,0,1
36290,0,1
24289,0,1
36290,0,1
31642,0,1
38810,0,1
11743,0,1
24289,0,1
37538,0,1
36290,0,1
11112,0,1
35089,0,1
27815,0,1
11749,0,1
23581,0,1
8546,0,1
11112,0,1
1545,0,1
8546,0,1
35089,0,1
27703,0,1
30922,0,1
17347,0,1
30919,0,1
20953,0,1
30919,0,1
25985,0,1
38433,0,1
6053,0,1
25985,0,1
19031,0,1
8663,0,1
31431,0,1
30688,0,1
24875,0,1
19743,0,1
16456,0,1
8663,0,1
8663,0,1
28109,0,1
3111,0,1
21735,0,1
14867,0,1
14867,0,1
4674,0,1
225,0,1
14867,0,1
38572,0,1
8645,0,1
225,0,1
24068,0,1
20640,0,1
26954,0,1
24059,0,1
20640,0,1
13727,0,1
23772,0,1
31435,0,1
14547,0,1
24059,0,1
17000,0,1
24135,0,1
25700,0,1
24135,0,1
25700,0,1
16904,0,1
25700,0,1
24135,0,1
25700,0,1
17367,0,1
23015,0,1
24035,0,1
22427,0,1
13713,0,1
20858,0,1
37660,0,1
13051,0,1
37660,0,1
22427,0,1
7699,0,1
37043,0,1
35402,0,1
35402,0,1
17407,0,1
3466,0,1
35402,0,1
35402,0,1
17979,0,1
14840,0,1
34601,0,1
37100,0,1
5014,0,1
8648,0,1
7061,0,1
15820,0,1
21290,0,1
21622,0,1
37100,0,1
37100,0,1
6623,0,1
39646,0,1
39646,0,1
39646,0,1
29043,0,1
18015,0,1
13542,0,1
12394,0,1
35659,0,1
9082,0,1
39646,0,1
14763,0,1
16768,0,1
6096,0,1
8338,0,1
33979,0,1
559,0,1
16436,0,1
1475,0,1
16768,0,1
22005,0,1
18315,0,1
15754,0,1
38507,0,1
28928,0,1
8893,0,1
15754,0,1
33349,0,1
32666,0,1
30499,0,1
9624,0,1
26181,0,1
26181,0,1
4844,0,1
26181,0,1
16532,0,1
5134,0,1
34999,0,1
19757,0,1
26181,0,1
24656,0,1
28148,0,1
4609,0,1
18893,0,1
3230,0,1
8054,0,1
23141,0,1
17096,0,1
23036,0,1
18893,0,1
32875,0,1
27725,0,1
36258,0,1
33379,0,1
11063,0,1
2056,0,1
18907,0,1
11063,0,1
28035,0,1
32403,0,1
32403,0,1
2095,0,1
29489,0,1
37549,0,1
37549,0,1
840,0,1
1069,0,1
2095,0,1
6587,0,1
5336,0,1
26830,0,1
1217,0,1
3850,0,1
36624,0,1
4481,0,1
9283,0,1
27176,0,1
32244,0,1
33498,0,1
25465,0,1
36671,0,1
20345,0,1
33848,0,1
13358,0,1
13358,0,1
35762,0,1
4929,0,1
21155,0,1
38581,0,1
18953,0,1
6646,0,1
33791,0,1
20099,0,1
1816,0,1
31545,0,1
355,0,1
35285,0,1
20826,0,1
5141,0,1
31943,0,1
31545,0,1
18903,0,1
24758,0,1
24758,0,1
10121,0,1
24758,0,1
19238,0,1
25260,0,1
11862,0,1
5197,0,1
12127,0,1
14480,0,1
21547,0,1
7414,0,1
24153,0,1
39017,0,1
8865,0,1
11596,0,1
39345,0,1
1964,0,1
14480,0,1
17886,0,1
11840,0,1
9191,0,1
29687,0,1
11798,0,1
29687,0,1
16028,0,1
16696,0,1
11840,0,1
35981,0,1
33774,0,1
10189,0,1
10189,0,1
10189,0,1
19340,0,1
19627,0,1
